,Race,Gender,Year,JobType
9742,White,Men,2015,Skilled
59602,White,Men,2007,Semi-Skilled
51217,White,Men,2007,Unskilled
30970,Minority,Women,2015,Semi-Skilled
66251,White,Men,2007,Unskilled
23967,Minority,Men,2015,Unskilled
3325,White,Men,2007,Skilled
32773,White,Women,2015,Unskilled
17731,Minority,Men,2015,Unskilled
45448,Minority,Women,2007,Unskilled
64257,White,Men,2015,Semi-Skilled
23115,Minority,Men,2015,Unskilled
72876,White,Men,2007,Unskilled
64678,White,Men,2015,Semi-Skilled
29961,White,Men,2015,Unskilled
44101,White,Women,2015,Unskilled
28042,Minority,Women,2007,Semi-Skilled
5875,White,Men,2007,Skilled
4223,Minority,Men,2007,Skilled
23408,Minority,Men,2015,Unskilled
68179,White,Men,2007,Unskilled
34676,Minority,Women,2007,Unskilled
45988,White,Women,2015,Unskilled
20903,White,Women,2015,Skilled
33840,White,Women,2015,Unskilled
38275,Minority,Men,2015,Unskilled
6606,White,Women,2007,Skilled
75086,White,Women,2007,Unskilled
13775,White,Women,2015,Skilled
15598,Minority,Women,2007,Unskilled
429,Minority,Men,2007,Skilled
15727,White,Men,2007,Skilled
5969,White,Men,2007,Skilled
74088,White,Men,2007,Unskilled
41141,White,Women,2007,Unskilled
648,White,Men,2007,Skilled
43574,White,Women,2015,Unskilled
56621,White,Men,2007,Semi-Skilled
83890,White,Women,2015,Unskilled
24682,Minority,Men,2007,Semi-Skilled
38505,White,Women,2007,Unskilled
10025,Minority,Men,2015,Unskilled
53468,White,Men,2015,Unskilled
71516,White,Women,2015,Unskilled
44439,Minority,Women,2007,Unskilled
61337,White,Men,2015,Semi-Skilled
34436,White,Men,2007,Unskilled
29127,Minority,Men,2015,Semi-Skilled
80718,White,Women,2015,Unskilled
24958,Minority,Men,2007,Semi-Skilled
47111,White,Women,2015,Unskilled
15161,White,Men,2007,Skilled
49934,White,Men,2007,Unskilled
5487,Minority,Men,2015,Skilled
4641,White,Men,2007,Skilled
76944,White,Women,2007,Unskilled
27060,White,Women,2007,Unskilled
20287,Minority,Women,2015,Unskilled
65999,White,Women,2015,Semi-Skilled
61208,White,Men,2015,Semi-Skilled
45529,Minority,Women,2007,Unskilled
38080,White,Women,2007,Unskilled
36296,White,Women,2007,Unskilled
29109,White,Men,2015,Unskilled
6270,Minority,Women,2015,Skilled
64163,White,Men,2015,Semi-Skilled
84062,White,Women,2015,Unskilled
19243,Minority,Women,2015,Unskilled
73990,White,Men,2007,Unskilled
32125,White,Women,2015,Unskilled
18171,White,Men,2015,Skilled
2459,Minority,Men,2015,Skilled
55258,White,Women,2015,Unskilled
30220,Minority,Men,2015,Semi-Skilled
28995,White,Men,2015,Unskilled
66568,White,Men,2007,Unskilled
39454,White,Women,2007,Unskilled
4635,White,Men,2007,Skilled
11776,Minority,Women,2015,Unskilled
77646,White,Women,2007,Unskilled
23724,White,Men,2007,Unskilled
10337,Minority,Men,2015,Unskilled
75577,White,Women,2007,Unskilled
25596,Minority,Men,2007,Semi-Skilled
36420,Minority,Men,2015,Unskilled
52506,White,Men,2015,Unskilled
77570,White,Women,2007,Unskilled
27593,White,Women,2007,Unskilled
24579,White,Women,2007,Unskilled
26758,White,Women,2007,Unskilled
44155,Minority,Women,2007,Unskilled
14538,White,Women,2015,Skilled
76351,White,Women,2007,Unskilled
44788,Minority,Women,2007,Unskilled
74168,White,Men,2007,Unskilled
5778,Minority,Men,2015,Skilled
79657,White,Men,2015,Unskilled
1185,White,Women,2007,Skilled
82838,White,Women,2015,Unskilled
1732,White,Men,2015,Skilled
18699,Minority,Women,2015,Unskilled
47131,Minority,Men,2015,Unskilled
49466,White,Men,2007,Unskilled
53473,White,Men,2015,Unskilled
62252,White,Men,2015,Semi-Skilled
55604,White,Men,2007,Semi-Skilled
51053,Minority,Women,2015,Unskilled
19640,White,Men,2015,Skilled
37043,Minority,Men,2015,Unskilled
57866,White,Men,2007,Semi-Skilled
53200,White,Men,2015,Unskilled
33206,Minority,Men,2007,Unskilled
47393,White,Women,2015,Unskilled
32166,Minority,Men,2007,Unskilled
21661,Minority,Men,2007,Unskilled
32073,Minority,Men,2007,Unskilled
66319,White,Men,2007,Unskilled
18252,White,Men,2015,Skilled
75753,White,Women,2007,Unskilled
66584,White,Men,2007,Unskilled
49273,Minority,Women,2015,Unskilled
79209,White,Men,2015,Unskilled
43700,White,Women,2015,Unskilled
48811,Minority,Women,2015,Unskilled
30340,Minority,Men,2015,Semi-Skilled
74080,White,Men,2007,Unskilled
36414,White,Women,2007,Unskilled
13161,White,Women,2015,Skilled
38540,Minority,Women,2015,Unskilled
5190,White,Men,2007,Skilled
19966,White,Women,2015,Skilled
20125,White,Women,2015,Skilled
2092,White,Men,2015,Skilled
34193,White,Men,2007,Unskilled
76971,White,Women,2007,Unskilled
32360,Minority,Men,2007,Unskilled
44365,Minority,Women,2007,Unskilled
5106,Minority,Women,2007,Skilled
57425,White,Men,2007,Semi-Skilled
21911,Minority,Men,2007,Unskilled
6550,Minority,Women,2015,Skilled
36787,White,Women,2007,Unskilled
65955,White,Women,2015,Semi-Skilled
65070,White,Women,2015,Semi-Skilled
18960,White,Men,2015,Skilled
75405,White,Women,2007,Unskilled
60484,White,Women,2007,Semi-Skilled
72641,White,Men,2007,Unskilled
82040,White,Women,2015,Unskilled
41214,White,Men,2015,Unskilled
4918,White,Men,2007,Skilled
28463,Minority,Men,2015,Semi-Skilled
48181,Minority,Men,2015,Unskilled
19126,Minority,Women,2015,Unskilled
5205,Minority,Men,2015,Skilled
29683,White,Men,2015,Unskilled
52418,White,Men,2015,Unskilled
55195,White,Women,2015,Unskilled
56457,White,Men,2007,Semi-Skilled
20782,White,Women,2015,Skilled
20828,Minority,Women,2015,Unskilled
43643,Minority,Women,2007,Unskilled
83811,White,Women,2015,Unskilled
479,White,Men,2007,Skilled
10916,White,Men,2015,Skilled
6664,White,Women,2007,Skilled
77554,White,Women,2007,Unskilled
47185,White,Women,2015,Unskilled
27543,Minority,Women,2007,Semi-Skilled
22441,White,Men,2007,Unskilled
62790,White,Men,2015,Semi-Skilled
15748,Minority,Women,2007,Unskilled
3478,Minority,Women,2015,Skilled
11709,Minority,Women,2015,Unskilled
77169,White,Women,2007,Unskilled
71570,White,Women,2015,Unskilled
70779,White,Men,2015,Unskilled
9295,Minority,Women,2007,Unskilled
52438,White,Men,2015,Unskilled
3578,Minority,Women,2015,Skilled
4248,Minority,Men,2007,Skilled
53382,White,Men,2015,Unskilled
36596,White,Women,2007,Unskilled
9791,White,Men,2015,Skilled
51281,White,Men,2007,Unskilled
59112,White,Men,2007,Semi-Skilled
45653,Minority,Men,2015,Unskilled
1395,White,Men,2015,Skilled
49875,Minority,Women,2015,Unskilled
28895,Minority,Men,2015,Semi-Skilled
45122,Minority,Women,2007,Unskilled
26826,White,Women,2007,Unskilled
765,White,Men,2007,Skilled
48153,White,Men,2007,Unskilled
68974,White,Women,2007,Unskilled
70339,White,Men,2015,Unskilled
6138,Minority,Women,2015,Skilled
42758,Minority,Women,2007,Unskilled
42355,Minority,Women,2007,Unskilled
60827,White,Women,2007,Semi-Skilled
20220,White,Women,2015,Skilled
65822,White,Women,2015,Semi-Skilled
25101,White,Women,2007,Unskilled
46292,Minority,Men,2015,Unskilled
53338,White,Men,2015,Unskilled
9070,White,Men,2015,Skilled
50458,White,Men,2007,Unskilled
11431,White,Men,2015,Skilled
4049,White,Men,2007,Skilled
