hotel_name,rating,count
"Battery Wharf Hotel, Boston Waterfront",Excellent,681
"Battery Wharf Hotel, Boston Waterfront",Very good,250
"Battery Wharf Hotel, Boston Waterfront",Average,107
"Battery Wharf Hotel, Boston Waterfront",Poor,32
"Battery Wharf Hotel, Boston Waterfront",Terrible,19
Renaissance Boston Waterfront Hotel,Excellent,473
Renaissance Boston Waterfront Hotel,Very good,501
Renaissance Boston Waterfront Hotel,Average,138
Renaissance Boston Waterfront Hotel,Poor,43
Renaissance Boston Waterfront Hotel,Terrible,20
Omni Parker House,Excellent,"2,868"
Omni Parker House,Very good,"1,961"
Omni Parker House,Average,796
Omni Parker House,Poor,341
Omni Parker House,Terrible,166
Sheraton Boston Hotel,Excellent,663
Sheraton Boston Hotel,Very good,613
Sheraton Boston Hotel,Average,220
Sheraton Boston Hotel,Poor,51
Sheraton Boston Hotel,Terrible,52
DoubleTree by Hilton Hotel Boston - Downtown,Excellent,464
DoubleTree by Hilton Hotel Boston - Downtown,Very good,375
DoubleTree by Hilton Hotel Boston - Downtown,Average,147
DoubleTree by Hilton Hotel Boston - Downtown,Poor,42
DoubleTree by Hilton Hotel Boston - Downtown,Terrible,21
Harborside Inn,Excellent,474
Harborside Inn,Very good,554
Harborside Inn,Average,126
Harborside Inn,Poor,53
Harborside Inn,Terrible,47
Club Quarters Hotel in Boston,Excellent,683
Club Quarters Hotel in Boston,Very good,498
Club Quarters Hotel in Boston,Average,181
Club Quarters Hotel in Boston,Poor,66
Club Quarters Hotel in Boston,Terrible,50
Charlesmark Hotel,Excellent,359
Charlesmark Hotel,Very good,322
Charlesmark Hotel,Average,67
Charlesmark Hotel,Poor,35
Charlesmark Hotel,Terrible,19
Boston Marriott Copley Place,Excellent,824
Boston Marriott Copley Place,Very good,"1,152"
Boston Marriott Copley Place,Average,411
Boston Marriott Copley Place,Poor,124
Boston Marriott Copley Place,Terrible,50
Hotel 140,Excellent,603
Hotel 140,Very good,649
Hotel 140,Average,236
Hotel 140,Poor,94
Hotel 140,Terrible,58
The Inn at Longwood Medical,Excellent,477
The Inn at Longwood Medical,Very good,247
The Inn at Longwood Medical,Average,133
The Inn at Longwood Medical,Poor,65
The Inn at Longwood Medical,Terrible,51
DoubleTree Suites by Hilton Boston-Cambridge,Excellent,571
DoubleTree Suites by Hilton Boston-Cambridge,Very good,569
DoubleTree Suites by Hilton Boston-Cambridge,Average,208
