hotel_name,review_id,attribute,star_value
"Marriott Vacation Club Pulse at Custom House, Boston",review_365907633,Sleep Quality,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365907633,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365882112,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365882112,Sleep Quality,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365882112,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365140916,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365140916,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_365140916,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_364950543,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_364950543,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_364950543,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_358437320,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_358437320,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_358437320,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_356760119,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_356760119,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_356760119,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_355819130,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_355819130,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_355819130,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352161855,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352161855,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352161855,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352148100,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352148100,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352148100,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352146239,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352146239,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_352146239,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_351451355,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_351451355,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_351451355,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_348166032,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_348166032,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_348166032,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_344303460,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_344303460,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_344303460,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_338676353,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_338676353,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_338676353,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_337728619,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_337728619,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_337541716,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_337541716,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_337541716,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_336516369,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_336516369,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_336516369,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_335462013,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_335462013,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_335462013,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_335137878,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_335137878,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_335137878,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_333578834,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_333578834,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_333578834,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_330545471,Sleep Quality,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_330545471,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_330545471,Service,5 of 5 bubbles
